time_s,truth,sensor_1,sensor_2,sensor_3,estimate,mode
26.3,20.9791332137,31.0534441664,21.0415331628,21.2965131034,21.2965131034,1
26.4,20.96164523,30.9217142806,20.6549789119,20.8104258587,20.8104258587,1
26.5,20.9440610826,30.7601842377,20.7004960509,21.0311345216,21.0311345216,1
26.6,20.9263825299,30.7973360623,20.5309079665,21.0657670905,21.0657670905,1
26.7,20.9086113397,30.8863260259,20.9799787953,20.9297556486,20.9799787953,1
26.8,20.8907492891,31.0170802359,20.8983530385,21.1379897858,21.1379897858,1
26.9,20.8727981643,30.9577947223,20.951211689,20.9547715479,20.9547715479,1
27,20.8547597605,30.563432212,20.8218326101,20.8028964626,20.8218326101,1
27.1,20.8366358814,30.8781452256,20.5648970485,21.1634588367,21.1634588367,1
27.2,20.8184283393,30.8393060722,20.5761648312,20.4766509466,20.5761648312,1
27.3,20.8001389552,30.7438814964,20.7822038726,20.656480538,20.7822038726,1
27.4,20.7817695578,30.8001923234,20.6535344043,20.8921012081,20.8921012081,1
27.5,20.7633219841,30.6184136204,20.7556219391,20.9590898188,20.9590898188,1
27.6,20.7447980789,31.2591318554,20.5432694403,20.6518965248,20.6518965248,1
27.7,20.7261996944,30.5582325548,20.8830653588,20.4965798333,20.8830653588,1
27.8,20.7075286906,30.6106572815,20.701608434,20.5117929827,20.701608434,1
27.9,20.6887869345,30.4973219261,20.5936623569,20.2686988864,20.5936623569,1
28,20.6699763003,30.3808806569,20.5873694828,20.6996224276,20.6996224276,1
28.1,20.651098669,30.6139466718,20.2963049301,20.5583414107,20.5583414107,1
28.2,20.6321559284,30.7918434565,20.7433290308,20.6164063561,20.7433290308,1
28.3,20.6131499728,30.4356759977,20.739393247,20.4973641765,20.739393247,1
28.4,20.5940827026,30.3602330221,20.4336454556,20.883751761,20.883751761,1
28.5,20.5749560247,30.6189920323,20.8068054353,20.479088762,20.8068054353,1
28.6,20.5557718516,30.7434017195,20.4354710429,20.5242863778,20.5242863778,1
28.7,20.5365321019,31.0338021539,20.6899618283,20.4362980268,20.6899618283,1
28.8,20.5172386993,30.5002748915,20.5824833835,20.7593302172,20.7593302172,1
28.9,20.4978935733,30.400066955,20.1496297564,20.4419652107,20.4419652107,1
29,20.4784986584,30.4815757499,20.5004062522,20.7418366857,20.7418366857,1
29.1,20.459055894,30.5223933097,20.6216392884,20.2388331553,20.6216392884,1
29.2,20.4395672245,30.6131475221,20.8588111908,20.5941490825,20.8588111908,1
29.3,20.4200345985,30.4707457425,20.4508322362,20.7774630463,20.7774630463,1
