time_s,temperature_k,analytic_temperature_k,heat_flow_w
4152,92.9578331846,92.9578331848,135.210834077
4176,92.9740536181,92.9740536183,135.129731909
4200,92.9902643222,92.9902643224,135.048678389
4224,93.0064653029,93.006465303,134.967673486
4248,93.0226565659,93.022656566,134.886717171
4272,93.038838117,93.0388381171,134.805809415
4296,93.0550099622,93.0550099622,134.724950189
4320,93.0711721071,93.0711721071,134.644139464
4344,93.0873245577,93.0873245576,134.563377211
4368,93.1034673197,93.1034673196,134.482663401
4392,93.119600399,93.1196003988,134.401998005
4416,93.1357238014,93.135723801,134.321380993
4440,93.1518375326,93.1518375321,134.240812337
4464,93.1679415985,93.1679415979,134.160292008
4488,93.1840360048,93.1840360041,134.079819976
4512,93.2001207574,93.2001207566,133.999396213
4536,93.216195862,93.2161958612,133.91902069
4560,93.2322613245,93.2322613235,133.838693378
4584,93.2483171506,93.2483171495,133.758414247
4608,93.264363346,93.2643633449,133.67818327
4632,93.2803999167,93.2803999154,133.598000417
4656,93.2964268682,93.2964268669,133.517865659
4680,93.3124442065,93.3124442051,133.437778967
4704,93.3284519373,93.3284519358,133.357740314
4728,93.3444500663,93.3444500647,133.277749669
4752,93.3604385993,93.3604385976,133.197807004
4776,93.376417542,93.3764175403,133.11791229
4800,93.3923869002,93.3923868985,133.038065499
4824,93.4083466797,93.4083466779,132.958266601
4848,93.4242968862,93.4242968844,132.878515569
4872,93.4402375255,93.4402375236,132.798812373
4896,93.4561686032,93.4561686013,132.719156984
4920,93.4720901251,93.4720901232,132.639549375
4944,93.488002097,93.488002095,132.559989515
4968,93.5039045245,93.5039045226,132.480477377
4992,93.5197974134,93.5197974115,132.401012933
5016,93.5356807695,93.5356807676,132.321596152
5040,93.5515545984,93.5515545965,132.242227008
5064,93.5674189059,93.567418904,132.162905471
5088,93.5832736976,93.5832736957,132.083631512
5112,93.5991189793,93.5991189774,132.004405104
5136,93.6149547566,93.6149547548,131.925226217
5160,93.6307810354,93.6307810336,131.846094823
5184,93.6465978212,93.6465978195,131.767010894
5208,93.6624051198,93.6624051181,131.687974401
5232,93.6782029368,93.6782029353,131.608985316
5256,93.6939912781,93.6939912765,131.53004361
5280,93.7097701491,93.7097701476,131.451149255
5304,93.7255395556,93.7255395542,131.372302222
5328,93.7412995034,93.741299502,131.293502483
5352,93.757049998,93.7570499967,131.21475001
5376,93.7727910451,93.7727910439,131.136044774
5400,93.7885226505,93.7885226494,131.057386748
5424,93.8042448197,93.8042448186,130.978775902
5448,93.8199575584,93.8199575575,130.900212208
5472,93.8356608723,93.8356608715,130.821695638
5496,93.8513547671,93.8513547663,130.743226165
5520,93.8670392483,93.8670392476,130.664803758
5544,93.8827143217,93.8827143211,130.586428391
5568,93.8983799929,93.8983799923,130.508100036
5592,93.9140362675,93.914036267,130.429818663
5616,93.9296831511,93.9296831507,130.351584244
5640,93.9453206494,93.9453206491,130.273396753
5664,93.9609487681,93.9609487678,130.19525616
5688,93.9765675127,93.9765675124,130.117162437
5712,93.9921768888,93.9921768886,130.039115556
5736,94.0077769021,94.007776902,129.961115489
5760,94.0233675583,94.0233675582,129.883162209
5784,94.0389488628,94.0389488628,129.805255686
5808,94.0545208214,94.0545208215,129.727395893
5832,94.0700834396,94.0700834397,129.649582802
5856,94.0856367231,94.0856367232,129.571816385
5880,94.1011806774,94.1011806775,129.494096613
5904,94.1167153081,94.1167153082,129.41642346
5928,94.1322406208,94.132240621,129.338796896
5952,94.1477566212,94.1477566214,129.261216894
5976,94.1632633147,94.1632633149,129.183683426
6000,94.178760707,94.1787607072,129.106196465
6024,94.1942488037,94.1942488039,129.028755982
6048,94.2097276103,94.2097276105,128.951361949
6072,94.2251971324,94.2251971327,128.874014338
6096,94.2406573756,94.2406573758,128.796713122
6120,94.2561083454,94.2561083457,128.719458273
6144,94.2715500474,94.2715500477,128.642249763
6168,94.2869824872,94.2869824875,128.565087564
6192,94.3024056703,94.3024056705,128.487971648
6216,94.3178196023,94.3178196025,128.410901989
6240,94.3332242887,94.3332242889,128.333878557
6264,94.348619735,94.3486197352,128.256901325
6288,94.3640059469,94.364005947,128.179970266
6312,94.3793829297,94.3793829299,128.103085351
6336,94.3947506892,94.3947506894,128.026246554
6360,94.4101092308,94.4101092309,127.949453846
6384,94.42545856,94.4254585601,127.8727072
6408,94.4407986824,94.4407986825,127.796006588
6432,94.4561296034,94.4561296035,127.719351983
6456,94.4714513287,94.4714513288,127.642743357
6480,94.4867638637,94.4867638638,127.566180682
6504,94.5020672139,94.502067214,127.489663931
6528,94.5173613849,94.517361385,127.413193076
6552,94.5326463821,94.5326463822,127.33676809
6576,94.547922211,94.5479222111,127.260388945
6600,94.5631888772,94.5631888774,127.184055614
6624,94.5784463862,94.5784463863,127.107768069
6648,94.5936947434,94.5936947435,127.031526283
6672,94.6089339543,94.6089339545,126.955330228
6696,94.6241640245,94.6241640246,126.879179878
6720,94.6393849593,94.6393849595,126.803075203
6744,94.6545967643,94.6545967645,126.727016178
6768,94.669799445,94.6697994452,126.651002775
6792,94.6849930068,94.684993007,126.575034966
6816,94.7001774552,94.7001774554,126.499112724
6840,94.7153527957,94.7153527959,126.423236022
6864,94.7305190337,94.7305190338,126.347404832
6888,94.7456761746,94.7456761748,126.271619127
6912,94.7608242241,94.7608242243,126.19587888
6936,94.7759631874,94.7759631876,126.120184063
6960,94.79109307,94.7910930702,126.04453465
