time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,analytic_error_m
783.118800759,4522329.48895,5239169.13889,0,-5744.83076061,4958.80489251,0,3.59892694135e-05
792.669030037,4467218.07855,5286238.72998,0,-5796.4433022,4898.3743706,0,9.19081213724e-05
802.219259314,4411616.78732,5332728.6254,0,-5847.42019847,4837.40668674,0,0.000183630212731
811.769488592,4355531.71259,5378633.72703,0,-5897.75585921,4775.90852673,0,0.000288438645949
821.31971787,4298969.00473,5423949.00087,0,-5947.44476456,4713.88663453,0,0.000377606607002
830.869947147,4241934.86651,5468669.47761,0,-5996.48146558,4651.34781153,0,0.000419910141227
840.420176425,4184435.55237,5512790.25318,0,-6044.86058482,4588.29891582,0,0.000388184893911
849.970405702,4126477.36777,5556306.48925,0,-6092.57681698,4524.74686141,0,0.00026615505424
859.52063498,4068066.66848,5599213.41377,0,-6139.62492944,4460.6986175,0,5.42311060316e-05
869.070864257,4009209.85988,5641506.32149,0,-6185.99976283,4396.16120771,0,0.000226884905648
878.621093535,3949913.39626,5683180.5745,0,-6231.69623164,4331.14170929,0,0.000535565441658
888.171322812,3890183.7801,5724231.60268,0,-6276.70932473,4265.64725238,0,0.00081317252179
897.72155209,3830027.5614,5764654.90428,0,-6321.03410591,4199.6850192,0,0.000992945376601
907.271781368,3769451.33693,5804446.04639,0,-6364.66571447,4133.26224325,0,0.00101532709737
916.822010645,3708461.74952,5843600.66542,0,-6407.59936572,4066.38620855,0,0.000850605921713
926.372239923,3647065.4874,5882114.46767,0,-6449.83035149,3999.0642488,0,0.000530019968775
935.9224692,3585269.28344,5919983.22976,0,-6491.35404068,3931.30374659,0,0.00018720941709
945.472698478,3523079.91443,5957202.79916,0,-6532.16587975,3863.1121326,0,7.89456632498e-05
955.022927755,3460504.20006,5993769.09421,0,-6572.26139322,3794.4968848,0,6.10964525794e-05
964.573157033,3397549.00242,6029678.10495,0,-6611.63618416,3725.46552767,0,5.4912695153e-05
974.12338631,3334221.22525,6064925.89355,0,-6650.28593469,3656.02563125,0,5.72404298011e-05
983.673615588,3270527.81315,6099508.5947,0,-6688.20640643,3586.18481042,0,6.27427888673e-05
993.223844865,3206475.75081,6133422.41597,0,-6725.39344096,3515.95072402,0,6.17979010823e-05
1002.77407414,3142072.06227,6166663.63833,0,-6761.84296032,3445.33107401,0,5.75851297451e-05
1012.32430342,3077323.81009,6199228.6165,0,-6797.5509674,3374.33360463,0,0.000100367824324
1021.8745327,3012238.09467,6231113.77936,0,-6832.51354641,3302.96610155,0,0.000191019910983
1031.42476198,2946822.0534,6262315.63038,0,-6866.72686332,3231.23639102,0,0.000292716556009
1040.97499125,2881082.85989,6292830.74794,0,-6900.18716625,3159.152339,0,0.000371754762097
1050.52522053,2815027.7232,6322655.78575,0,-6932.89078589,3086.72185032,0,0.000396163336835
1060.07544981,2748663.88703,6351787.47317,0,-6964.83413593,3013.95286779,0,0.000340590253003
1069.62567909,2681998.62892,6380222.61561,0,-6996.01371341,2940.85337135,0,0.000193117871496
1079.17590836,2615039.25948,6407958.09481,0,-7026.42609915,2867.43137718,0,5.64794059094e-05
1088.72613764,2547793.12154,6434990.86926,0,-7056.06795808,2793.69493684,0,0.000344697105399
1098.27636692,2480267.58938,6461317.97445,0,-7084.93603965,2719.65213636,0,0.000655356637862
1107.8265962,2412470.06792,6486936.52327,0,-7113.02717813,2645.31109539,0,0.000918368715811
1117.37682547,2344407.99188,6511843.70629,0,-7140.33829304,2570.67996625,0,0.00106615000384
1126.92705475,2276088.82502,6536036.79211,0,-7166.86638939,2495.76693312,0,0.00104367279568
1136.47728403,2207520.05929,6559513.12767,0,-7192.6085581,2420.58021105,0,0.000833105504949
1146.02751331,2138709.21406,6582270.13857,0,-7217.56197622,2345.1280451,0,0.000487826189526
1155.57774258,2069663.83528,6604305.3294,0,-7241.72390735,2269.41870942,0,0.000179731909012
1165.12797186,2000391.49463,6625616.28397,0,-7265.09170182,2193.46050638,0,0.000128835354755
1174.67820114,1930899.78853,6646200.66507,0,-7287.66279713,2117.26176566,0,0.000112742208734
1184.22843042,1861196.33751,6666056.2154,0,-7309.43471808,2040.83084333,0,0.000108621686237
1193.77865969,1791288.78534,6685180.75756,0,-7330.40507714,1964.1761209,0,0.00011363056024
1203.32888897,1721184.79818,6703572.19431,0,-7350.57157468,1887.30600442,0,0.000120137718925
1212.87911825,1650892.06369,6721228.50882,0,-7369.93199922,1810.22892358,0,0.000116623328062
1222.42934753,1580418.29029,6738147.76484,0,-7388.48422766,1732.95333074,0,0.000105233931671
1231.9795768,1509771.2062,6754328.10699,0,-7406.22622555,1655.48770005,0,0.000128701428842
1241.52980608,1438958.55868,6769767.76092,0,-7423.15604728,1577.84052648,0,0.000208535033927
1251.08003536,1367988.11314,6784465.03353,0,-7439.2718363,1500.02032492,0,0.000304383725075
1260.63026464,1296867.65228,6798418.31313,0,-7454.57182532,1422.03562922,0,0.00037462919948
1270.18049391,1225604.97529,6811626.06961,0,-7469.05433654,1343.89499128,0,0.000385062428341
1279.73072319,1154207.89692,6824086.85462,0,-7482.71778177,1265.6069801,0,0.000311775798676
1289.28095247,1082684.24665,6835799.3017,0,-7495.56066266,1187.18018084,0,0.000153269346267
1298.83118175,1011041.86788,6846762.12644,0,-7507.58157085,1108.62319388,0,0.000154835049492
1308.38141102,939288.616985,6856974.12661,0,-7518.77918811,1029.94463389,0,0.00045366644978
