time_s,true_position_m,measurement_m,estimated_position_m,estimated_velocity_mps,position_sigma_m
63,320.429411237,328.599985121,320.038537171,5.19479751135,0.992845634034
63.2,321.477135905,321.999079225,321.113697442,5.19696456112,0.992960329199
63.4,322.52141126,316.464823556,321.928372285,5.17090762877,0.993096433284
63.6,323.561187919,315.016753101,322.64850728,5.13398271592,0.993250307131
63.8,324.597584473,323.191148004,323.655529092,5.12514601306,0.993418596749
64,325.63248333,325.184106265,324.699609166,5.11848844019,0.993598219925
64.2,326.665695926,323.074235496,325.617652099,5.09738547439,0.993786353071
64.4,327.696252751,328.15682189,326.696012886,5.09127775019,0.993980418325
64.6,328.728391483,325.522512646,327.626272983,5.06847325376,0.994178070914
64.8,329.759980802,332.518272061,328.79184962,5.06838372617,0.994377186789
65,330.786421322,327.16371223,329.699320418,5.0402779568,0.994575850557
65.2,331.808378724,331.615877599,330.741495889,5.02478131223,0.994772343695
65.4,332.826711027,337.720906894,331.981025795,5.02804849988,0.9949651331
65.6,333.838710658,346.697055073,333.527583379,5.06090466528,0.995152859941
65.8,334.844969947,329.806753984,334.349881945,5.01758105808,0.995334328862
66,335.851177799,333.528638949,335.278580471,4.9843744265,0.995508497519
66.2,336.855571294,332.656392805,336.129306141,4.94229787653,0.995674466476
66.4,337.853393586,341.775035195,337.299717798,4.93210664823,0.995831469457
66.6,338.842756059,333.102259531,338.077509431,4.88054795817,0.995978863961
66.8,339.824393033,337.402607805,338.985004492,4.84174608343,0.996116122248
67,340.797596456,340.64959004,339.977763686,4.81093447225,0.996242822692
67.2,341.759216244,336.865823547,340.774797948,4.75935324605,0.996358641512
67.4,342.714013829,337.927388618,341.572259633,4.70744296471,0.996463344859
67.6,343.662106761,341.283992321,342.461249921,4.66451522734,0.996556781289
67.8,344.602819722,334.10061852,343.021127949,4.58761556399,0.996638874584
68,345.540740594,338.313349508,343.711210189,4.52421048122,0.996709616949
68.2,346.473960776,344.408790337,344.603782931,4.48139763393,0.996769062549
68.4,347.400281239,348.14143442,345.600891905,4.44882319202,0.996817321409
68.6,348.322838406,347.394038476,346.522293011,4.40800126089,0.996854553641
68.8,349.239890509,340.370047035,347.119905906,4.33396284962,0.996880964017
69,350.146113621,347.827182162,347.975861398,4.28651748517,0.996896796856
69.2,351.038969645,355.031157848,349.074949035,4.26359744955,0.996902331232
69.4,351.919511443,354.698839003,350.1126292,4.23385475582,0.996897876484
69.6,352.793195923,352.399456616,351.011842366,4.18967039582,0.996883768021
69.8,353.661659927,349.224810552,351.740541129,4.12815002725,0.996860363414
70,354.519871138,357.675952992,352.764283901,4.09682294883,0.996828038756
70.2,355.364019024,352.469374118,353.53429505,4.03958286221,0.996787185293
70.4,356.19480826,350.348566248,354.178357899,3.96994510727,0.996738206293
70.6,357.014372539,353.003441363,354.888888915,3.90766353662,0.996681514172
70.8,357.823157708,365.064884167,356.038368088,3.89025131609,0.996617527836
71,358.620866123,359.721766314,356.926470955,3.84610719694,0.996546670249
71.2,359.408369856,365.204605122,357.988510683,3.81977098406,0.996469366206
71.4,360.184520525,357.787838958,358.708681021,3.75889317767,0.996386040304
71.6,360.948532588,365.639279284,359.700257052,3.72607811932,0.9962971151
71.8,361.701315378,358.69379516,360.370361988,3.66104327766,0.996203009443
72,362.442690309,361.655553464,361.11890205,3.60479731573,0.996104136979
72.2,363.17317073,375.60492203,362.380416845,3.60095722548,0.996000904806
72.4,363.896596384,367.732339546,363.278675961,3.56029395563,0.995893712279
72.6,364.613084848,362.107232971,363.910319619,3.49335290761,0.995782949957
72.8,365.31895734,364.894862145,364.614596252,3.43485071764,0.995668998677
73,366.00961975,367.640736854,365.388557054,3.38436786537,0.995552228747
73.2,366.685709193,372.73799714,366.324144761,3.35102947346,0.995432999256
73.4,367.34668815,364.901022692,366.90563929,3.28272829278,0.995311657491
73.6,367.988957035,359.282361612,367.228409688,3.18982043779,0.995188538447
73.8,368.618123674,367.219914608,367.835013376,3.12733326658,0.995063964431
74,369.238434592,369.315361878,368.488583532,3.07092007736,0.994938244754
74.2,369.847907396,370.39559724,369.148214424,3.01640493724,0.994811675492
74.4,370.441747114,377.025197795,370.033648124,2.98584083884,0.994684539327
74.6,371.019559166,372.602994558,370.703162128,2.93449746341,0.994557105448
74.8,371.583465017,375.648049875,371.45679042,2.89293107556,0.99442962952
75,372.135550588,366.629982118,371.815999468,2.81303686864,0.994302353696
75.2,372.681768921,377.021276363,372.556579355,2.77338168686,0.994175506692
75.4,373.22137079,383.702469948,373.524345943,2.75774845506,0.994049303899
75.6,373.748383115,377.612929566,374.210182542,2.71471012332,0.99392394754
75.8,374.260142253,375.527920853,374.778308782,2.66132110838,0.993799626859
76,374.758216175,375.528157117,375.313802895,2.60636042859,0.993676518352
76.2,375.244724045,384.18043524,376.15930208,2.58420542059,0.993554786018
76.4,375.717616647,371.08170923,376.450066731,2.50769868003,0.993434581641
76.6,376.177631776,375.622119986,376.893982776,2.4488248974,0.993316045091
76.8,376.624931866,378.925969831,377.439527383,2.4021192777,0.99319930465
77,377.061679227,380.781684766,378.027854037,2.36149577975,0.993084477352
77.2,377.492481215,375.305841687,378.369270449,2.2979031041,0.992971669331
77.4,377.917472615,379.454079589,378.848697548,2.2503465947,0.992860976194
